Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,ITA,1994 Winter,Cross Country Skiing,Bronze,33.0,187.0,84.0
M,ITA,1994 Winter,Cross Country Skiing,Gold,33.0,187.0,84.0
M,ITA,1998 Winter,Cross Country Skiing,Silver,37.0,187.0,84.0
M,RUS,2012 Summer,Weightlifting,Bronze,24.0,192.0,156.0
M,ESP,2000 Summer,Football,Silver,23.0,182.0,75.0
M,FRG,1984 Summer,Cycling,Bronze,20.0,184.0,75.0
M,ITA,1976 Summer,Water Polo,Silver,29.0,192.0,82.0
M,HUN,1960 Summer,Football,Bronze,18.0,182.0,75.0
F,ESP,2012 Summer,Handball,Bronze,29.0,179.0,90.0
M,SWE,1948 Summer,Athletics,Bronze,26.0,177.0,67.0
M,ITA,1968 Summer,Rowing,Bronze,20.0,180.0,83.0
M,RUS,2008 Summer,Wrestling,Gold,19.0,165.0,66.0
F,GDR,1980 Winter,Speed Skating,Bronze,17.0,165.0,57.0
F,SUI,2002 Winter,Cross Country Skiing,Bronze,31.0,175.0,64.0
M,SWE,1976 Summer,Sailing,Gold,39.0,181.0,67.0
M,USA,1936 Summer,Athletics,Silver,23.0,191.0,79.0
M,URS,1960 Summer,Wrestling,Bronze,24.0,181.0,87.0
M,BRA,1996 Summer,Football,Bronze,30.0,183.0,76.0
M,CUB,1976 Summer,Boxing,Silver,20.0,183.0,63.0
M,CUB,1980 Summer,Boxing,Gold,24.0,183.0,63.0
M,USA,1928 Summer,Athletics,Gold,22.0,177.0,75.0
F,USA,1952 Summer,Swimming,Bronze,17.0,170.0,59.0
M,ESP,2008 Summer,Hockey,Silver,23.0,184.0,75.0
M,ESP,2008 Summer,Hockey,Silver,27.0,171.0,71.0
F,NZL,2012 Summer,Sailing,Gold,26.0,171.0,58.0
F,NZL,2016 Summer,Sailing,Silver,30.0,171.0,58.0
M,LTU,2000 Summer,Athletics,Gold,28.0,200.0,130.0
M,LTU,2004 Summer,Athletics,Gold,32.0,200.0,130.0
M,LTU,2008 Summer,Athletics,Bronze,36.0,200.0,130.0
M,URS,1976 Winter,Ice Hockey,Gold,20.0,168.0,69.0
M,BUL,1980 Summer,Weightlifting,Silver,20.0,176.0,89.0
M,URS,1960 Winter,Ice Hockey,Bronze,22.0,180.0,81.0
M,URS,1964 Winter,Ice Hockey,Gold,26.0,180.0,81.0
